timestamp,R_99
1579368052,47.22
1579368053,20.79
1579368054,16.35
1579368055,63.96
1579368056,17.37
1579368057,53.31
1579368058,63.37
1579368059,55.38
1579368060,46.89
1579368061,44.47
1579368062,58.56
1579368063,43.42
1579368064,50.43
1579368065,45.61
1579368066,55.02
1579368067,20.74
1579368068,54.79
1579368069,56.23
1579368070,57.34
1579368071,59.97
1579368072,57.64
1579368073,27.72
1579368074,56.39
1579368075,50.79
1579368076,42.01
1579368077,55.15
1579368078,55.31
1579368079,50.63
1579368080,51.25
1579368081,54.2
1579368082,56.52
1579368083,62.32
1579368084,66.78
1579368085,59.97
1579368086,65.24
1579368087,62.55
1579368088,62.91
1579368089,51.77
1579368090,40.99
1579368091,52.92
1579368092,56.85
1579368093,53.28
1579368094,65.63
1579368095,66.36
1579368096,63.9
1579368097,67.57
1579368098,61.01
1579368099,40.08
1579368100,70.91
1579368101,69.99
1579368102,74.65
1579368103,55.02
1579368104,51.51
1579368105,58.79
1579368106,61.24
1579368107,64.75
1579368108,69.86
1579368109,50.76
1579368110,88.15
1579368111,52.13
1579368112,58.23
1579368113,68.88
1579368114,64.23
1579368115,66.26
1579368116,51.02
1579368117,45.91
1579368118,46.92
1579368119,101.91
1579368120,70.52
1579368121,77.07
1579368122,47.61
1579368123,53.44
1579368124,70.12
1579368125,59.74
1579368126,57.02
1579368127,49.58
1579368128,72.22
1579368129,62.85
1579368130,64.85
1579368131,59.28
1579368132,69.66
1579368133,67.7
1579368134,62.46
1579368135,52.89
1579368136,75.76
1579368137,53.41
1579368138,69.93
1579368139,99.94
1579368140,59.74
1579368141,81.92
1579368142,63.64
1579368143,62.39
1579368144,109.31
1579368145,73.99
1579368146,66.36
1579368147,60.42
1579368148,72.16
1579368149,63.24
1579368150,79.3
1579368151,79.63
1579368152,86.77
1579368153,43.32
1579368154,73.79
1579368155,61.93
1579368156,92.21
1579368157,70.78
1579368158,61.6
1579368159,52.92
1579368160,75.04
1579368161,80.15
1579368162,75.76
1579368163,113.44
1579368164,64.06
1579368165,67.63
1579368166,69.8
1579368167,73.99
1579368168,56.95
1579368169,64.23
1579368170,67.76
1579368171,77.66
1579368172,69.21
1579368173,69.27
1579368174,68.49
1579368175,91.29
1579368176,126.75
1579368177,127.86
1579368178,70.84
1579368179,71.83
1579368180,77.14
1579368181,69.4
1579368182,73.2
1579368183,74.51
1579368184,76.81
1579368185,80.87
1579368186,79.63
1579368187,78.91
1579368188,69.34
1579368189,97.58
1579368190,62.65
1579368191,82.38
1579368192,68.68
1579368193,82.71
1579368194,66.42
1579368195,128.78
1579368196,85.92
1579368197,75.96
1579368198,112.33
1579368199,72.35
1579368200,121.44
1579368201,83.82
1579368202,66.32
1579368203,76.15
1579368204,90.7
1579368205,95.22
1579368206,83.49
