"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1541095100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541095101,0,0,0,0,0,2,64,50,129,0,0,0,0,2,64,50,129
1541095102,0,0,0,0,0,21,109,88,219,2,64,50,129,19,45,38,90
1541095103,0,0,0,0,0,34,140,114,281,21,109,88,219,13,31,26,62
1541095104,0,0,0,0,0,59,200,164,401,34,140,114,281,25,60,50,120
1541095105,0,0,0,0,0,74,236,194,473,59,200,164,401,15,36,30,72
1541095106,0,0,0,0,0,94,284,234,569,74,236,194,473,20,48,40,96
1541095107,0,0,0,0,0,109,320,264,641,94,284,234,569,15,36,30,72
1541095108,0,0,0,0,0,129,368,304,737,109,320,264,641,20,48,40,96
1541095109,0,0,0,0,0,149,416,344,833,129,368,304,737,20,48,40,96
1541095110,0,0,0,0,0,164,451,374,903,149,416,344,833,15,35,30,70
1541095111,0,0,0,0,0,184,499,414,999,164,451,374,903,20,48,40,96
1541095112,0,0,0,0,0,199,535,444,1071,184,499,414,999,15,36,30,72
1541095113,0,0,0,0,0,219,583,484,1167,199,535,444,1071,20,48,40,96
1541095114,0,0,0,0,0,239,631,524,1263,219,583,484,1167,20,48,40,96
1541095115,0,0,0,0,0,254,667,554,1335,239,631,524,1263,15,36,30,72
1541095116,0,0,0,0,0,274,715,594,1431,254,667,554,1335,20,48,40,96
1541095117,0,0,0,0,0,289,751,624,1503,274,715,594,1431,15,36,30,72
1541095118,0,0,0,0,0,309,798,664,1597,289,751,624,1503,20,47,40,94
1541095119,0,0,0,0,0,329,846,704,1693,309,798,664,1597,20,48,40,96
1541095120,0,0,0,0,0,344,882,734,1765,329,846,704,1693,15,36,30,72
